id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,浙江省,舟山市,,岱东镇丰收站,,,,,,,,,,,,,,,,
1,浙江省,舟山市,,岱东镇北一村兴乐路3号,岱东镇北一村兴乐路,,,,,,,,,,,,,,,
2,上海市,上海市,普陀区,勾山街道三岔路8号和津广场3区,勾山街道三岔路8号和津广场,勾山街道三岔路,,,,,,,,,,,,,,
3,浙江省,舟山市,岱山县,经济开发区高亭镇徐福大道252号,经济开发区高亭镇徐福大道,,,,,,,,,,,,,,,
4,浙江省,舟山市,岱山县,用地，位于岱山县岱西镇前岸临港工业s号,,,,,,,,,,,,,,,,
5,浙江省,舟山市,岱山县,司名下位于岱山县岱西镇前岸临港工业s号,,,,,,,,,,,,,,,,
6,浙江省,舟山市,岱山县,岱西镇仇家门北堤,,,,,,,,,,,,,,,,
7,浙江省,舟山市,岱山县,东沙镇新道头,,,,,,,,,,,,,,,,
8,广东省,江门市,,岱西镇仇江门北侧,,,,,,,,,,,,,,,,
9,广东省,江门市,,岱西镇仇江门北侧,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,浙江省,舟山市,定海区,半岛路1号,半岛路,,,,,,,,,,,,,,,
12,浙江省,舟山市,定海区,解放西路135号内街商场130号,解放西路135号内街商场,解放西路,,,,,,,,,,,,,,
13,河南省,舟山市,定海区,东河南路,,,,,,,,,,,,,,,,
14,,,,徐福大道,,,,,,,,,,,,,,,,
15,浙江省,舟山市,岱山县,岱西镇前岸村,,,,,,,,,,,,,,,,
16,浙江省,舟山市,普陀区,六横镇润都嘉苑6号楼,六横镇润都嘉苑,,,,,,,,,,,,,,,
17,浙江省,舟山市,岱山县,东沙镇兴业路9号,东沙镇兴业路,,,,,,,,,,,,,,,
18,浙江省,舟山市,岱山县,东沙镇兴业路9号,东沙镇兴业路,,,,,,,,,,,,,,,
19,浙江省,舟山市,普陀区,沈家门新开小区11号,沈家门新开小区,,,,,,,,,,,,,,,
20,浙江省,舟山市,普陀区,沈家门滨港路23号,沈家门滨港路,,,,,,,,,,,,,,,
21,浙江省,舟山市,,盘峙东山头海岛,,,,,,,,,,,,,,,,
22,浙江省,舟山市,定海区,北蝉新港工业园区2008-gb10号,北蝉新港工业园区2008-gb,北蝉新港工业园区,,,,,,,,,,,,,,
23,广东省,江门市,岱山县,岱西镇仇江门,,,,,,,,,,,,,,,,
24,广东省,江门市,岱山县,岱西镇仇江门,,,,,,,,,,,,,,,,
25,广东省,江门市,岱山县,岱西镇仇江门,,,,,,,,,,,,,,,,
26,,,,人民北路s184,人民北路s,,,,,,,,,,,,,,,
27,浙江省,舟山市,定海区,解放西路55-57号,解放西路55-,解放西路,,,,,,,,,,,,,,
28,上海市,上海市,普陀区,东港海印路华荣公寓13号-23号,东港海印路华荣公寓13号-,东港海印路华荣公寓,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,浙江省,舟山市,定海区,兴舟大道390号,兴舟大道,,,,,,,,,,,,,,,
31,浙江省,舟山市,定海区,半岛路1号,半岛路,,,,,,,,,,,,,,,
32,浙江省,舟山市,定海区,环城东路111号沿街,环城东路,,,,,,,,,,,,,,,
33,浙江省,金华市,义乌市,稠江锦都盛世家园1幢2单,稠江锦都盛世家园1幢,稠江锦都盛世家园,,,,,,,,,,,,,,
34,浙江省,金华市,义乌市,经贝家园6幢1107室,经贝家园6幢,经贝家园,,,,,,,,,,,,,,
35,浙江省,金华市,义乌市,南门街536号303室,南门街536号,南门街,,,,,,,,,,,,,,
36,浙江省,衢州市,,花园东大道158号,花园东大道,,,,,,,,,,,,,,,
37,浙江省,衢州市,江山市,鹿溪中路138幢605室,鹿溪中路138幢,鹿溪中路,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,常山球川镇红旗岗,,,,,,,,,,,,,,,,
40,浙江省,衢州市,,新桥街80、82、84号,新桥街80、82、,新桥街80、,新桥街,,,,,,,,,,,,,
41,浙江省,衢州市,常山县,金川街道宁都路8号,金川街道宁都路,,,,,,,,,,,,,,,
42,浙江省,衢州市,开化县,城关芹南农贸市场,,,,,,,,,,,,,,,,
43,浙江省,衢州市,江山市,清湖路口村路口自然村203号,清湖路口村路口自然村,,,,,,,,,,,,,,,
44,浙江省,衢州市,东港市,工业区东港1路10号1幢-6幢,工业区东港1路10号1幢-,工业区东港1路10号,工业区东港1路,工业区东港,,,,,,,,,,,,
45,浙江省,衢州市,开化县,池淮镇烟煤洞1号,池淮镇烟煤洞,,,,,,,,,,,,,,,
46,浙江省,衢州市,开化县,华埠镇工业功能区叶家岭3号,华埠镇工业功能区叶家岭,,,,,,,,,,,,,,,
47,浙江省,衢州市,衢江区,仙岩路10号,仙岩路,,,,,,,,,,,,,,,
48,浙江省,衢州市,,劳动路109-4号,劳动路109-,劳动路,,,,,,,,,,,,,,
49,福建省,南平市,浦城县,梦笔山路518号,梦笔山路,,,,,,,,,,,,,,,
50,浙江省,衢州市,衢江区,仙岩路18号,仙岩路,,,,,,,,,,,,,,,
51,浙江省,衢州市,,经济技术开发区盘龙路南路2号1幢、2幢、3幢,经济技术开发区盘龙路南路2号1幢、2幢、,经济技术开发区盘龙路南路2号1幢、,经济技术开发区盘龙路南路2号,经济技术开发区盘龙路南路,,,,,,,,,,,,
52,浙江省,衢州市,柯城区,港琴西路1号,港琴西路,,,,,,,,,,,,,,,
53,江西省,景德镇市,乐平市,安平中路84号,安平中路,,,,,,,,,,,,,,,
54,浙江省,衢州市,,上街s70b区s,上街s,,,,,,,,,,,,,,,
55,浙江省,衢州市,柯城区,东港六路11号4、5、6号,东港六路11号4、5、,东港六路11号4、,东港六路11号,东港六路,,,,,,,,,,,,
56,浙江省,衢州市,,须江镇达道解放路37幢101室,须江镇达道解放路37幢,须江镇达道解放路,,,,,,,,,,,,,,
57,浙江省,衢州市,江山市,虎山街道东岳路19幢38、40、46、48、50、52、673、675、677、679号,虎山街道东岳路19幢38、40、46、48、50、52、673、675、677、,虎山街道东岳路19幢38、40、46、48、50、52、673、675、,虎山街道东岳路19幢38、40、46、48、50、52、673、,虎山街道东岳路19幢38、40、46、48、50、52、,虎山街道东岳路19幢38、40、46、48、50、,虎山街道东岳路19幢38、40、46、48、,虎山街道东岳路19幢38、40、46、,虎山街道东岳路19幢38、40、,虎山街道东岳路19幢38、,虎山街道东岳路19幢,虎山街道东岳路,,,,,
58,浙江省,衢州市,,南新衙门9、11、19号,南新衙门9、11、,南新衙门9、,南新衙门,,,,,,,,,,,,,
59,,,,常山新都工业区,,,,,,,,,,,,,,,,
60,浙江省,台州市,,新东方商厦,,,,,,,,,,,,,,,,
61,浙江省,台州市,,鑫泰街221号,鑫泰街,,,,,,,,,,,,,,,
62,浙江省,宁波市,海曙区,君子街18号909室,君子街18号,君子街,,,,,,,,,,,,,,
63,浙江省,舟山市,普陀区,朱家尖泗苏北站海塘[UNK],,,,,,,,,,,,,,,,
64,浙江省,宁波市,江北区,慈城镇塘家湾85号03,慈城镇塘家湾85号,慈城镇塘家湾,,,,,,,,,,,,,,
65,浙江省,宁波市,北仑区,新[UNK868进港路s号,新[UNK,,,,,,,,,,,,,,,
66,,,,古塘街道海关北路213弄8号,古塘街道海关北路213弄,古塘街道海关北路,,,,,,,,,,,,,,
67,,,,余杭镇金成白云深处别墅林泉居27号,余杭镇金成白云深处别墅林泉居,,,,,,,,,,,,,,,
68,浙江省,绍兴市,,柯桥金柯桥大道2998号绍兴轻纺贸易中心3幢1283室、3幢1284室,柯桥金柯桥大道2998号绍兴轻纺贸易中心3幢1283室、3幢,柯桥金柯桥大道2998号绍兴轻纺贸易中心3幢1283室、,柯桥金柯桥大道2998号绍兴轻纺贸易中心3幢,柯桥金柯桥大道2998号绍兴轻纺贸易中心,柯桥金柯桥大道,,,,,,,,,,,
69,,,,奉化南山路154号,奉化南山路,,,,,,,,,,,,,,,
70,,,,奉化市南山路154号,奉化市南山路,,,,,,,,,,,,,,,
71,浙江省,宁波市,余姚市,城区永丰村,,,,,,,,,,,,,,,,
72,浙江省,宁波市,鄞州区,光华路299弄10幢,光华路299弄,光华路,,,,,,,,,,,,,,
73,,,,南二环群丰村,,,,,,,,,,,,,,,,
74,,,,掌起镇工业园区,,,,,,,,,,,,,,,,
75,,,,慈甬路,,,,,,,,,,,,,,,,
76,浙江省,宁波市,慈溪市,玫瑰园南区27号,玫瑰园南区,,,,,,,,,,,,,,,
77,浙江省,宁波市,慈溪市,浒山蓝鹰大厦,,,,,,,,,,,,,,,,
78,浙江省,宁波市,余姚市,丈亭镇诺丁山郡庄园51幢,丈亭镇诺丁山郡庄园,,,,,,,,,,,,,,,
79,浙江省,宁波市,,江东区江东南路19号401室,江东区江东南路19号,江东区江东南路,,,,,,,,,,,,,,
80,浙江省,宁波市,余姚市,朗霞街道裘皮城a幢5005-5010号,朗霞街道裘皮城a幢5005-,朗霞街道裘皮城a幢,,,,,,,,,,,,,,
81,浙江省,舟山市,岱山县,秀山乡三礁村,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,
83,浙江省,宁波市,象山县,高塘岛乡孝贤湾村,,,,,,,,,,,,,,,,
84,浙江省,宁波市,宁海县,西店镇集义村,,,,,,,,,,,,,,,,
85,浙江省,宁波市,镇海区,庄市街道聚兴路88号3-1、3-2、3-3、3+1-1室,庄市街道聚兴路88号3-1、3-2、3-3、3+1-,庄市街道聚兴路88号3-1、3-2、3-3、3+,庄市街道聚兴路88号3-1、3-2、3-3、,庄市街道聚兴路88号3-1、3-2、3-,庄市街道聚兴路88号3-1、3-2、,庄市街道聚兴路88号3-1、3-,庄市街道聚兴路88号3-1、,庄市街道聚兴路88号3-,庄市街道聚兴路88号,庄市街道聚兴路,,,,,,
86,浙江省,宁波市,象山县,滨海工业园区海泰路8号,滨海工业园区海泰路,,,,,,,,,,,,,,,
87,浙江省,宁波市,,江东区宁穿路350-352号,江东区宁穿路350-,江东区宁穿路,,,,,,,,,,,,,,
88,,,江北区,慈城镇西门外太平桥,,,,,,,,,,,,,,,,
89,浙江省,宁波市,宁海县,物流中心冠北区,,,,,,,,,,,,,,,,
90,浙江省,宁波市,宁海县,大佳何滨海村,,,,,,,,,,,,,,,,
91,浙江省,宁波市,鄞州区,下应街道环城南路东段1678号1802室,下应街道环城南路东段1678号,下应街道环城南路东段,,,,,,,,,,,,,,
92,浙江省,宁波市,慈溪市,新浦镇老浦江路107弄12号,新浦镇老浦江路107弄,新浦镇老浦江路,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,浙江省,宁波市,北仑区,新[UNK461进港463s号,新[UNK461进港,新[UNK,,,,,,,,,,,,,,
95,浙江省,宁波市,北仑区,新[UNK465进483路s～s号,新[UNK465进,新[UNK,,,,,,,,,,,,,,
96,浙江省,宁波市,慈溪市,掌起镇四房村,,,,,,,,,,,,,,,,
97,浙江省,宁波市,江北区,扬善路51、53号，玛瑙路8号,扬善路51、53号，玛瑙路,扬善路51、,扬善路,,,,,,,,,,,,,
98,浙江省,宁波市,宁海县,靖海路38弄13号,靖海路38弄,靖海路,,,,,,,,,,,,,,
99,浙江省,宁波市,宁海县,隔水洋村a地块江南名都1幢,隔水洋村a地块江南名都,,,,,,,,,,,,,,,
100,浙江省,宁波市,,江东区江南路69号,江东区江南路,,,,,,,,,,,,,,,
101,,,,大榭开发区榭南工业新区s-4-1地3,大榭开发区榭南工业新区s-4-1地,大榭开发区榭南工业新区s-4-,大榭开发区榭南工业新区s-,,,,,,,,,,,,,
102,,,,奉化市绿都52幢901室,奉化市绿都52幢,奉化市绿都,,,,,,,,,,,,,,
103,浙江省,宁波市,余姚市,城区新西门路102-112、四明西路286-296号,城区新西门路102-112、四明西路286-,城区新西门路102-112、四明西路,城区新西门路102-,城区新西门路,,,,,,,,,,,,
104,浙江省,宁波市,镇海区,招宝山街道鼓楼东路27号4-2室,招宝山街道鼓楼东路27号4-,招宝山街道鼓楼东路27号,招宝山街道鼓楼东路,,,,,,,,,,,,,
105,浙江省,宁波市,,保税区兴业三路22号,保税区兴业三路,,,,,,,,,,,,,,,
106,浙江省,宁波市,,江东区中兴路717号,江东区中兴路,,,,,,,,,,,,,,,
107,辽宁省,丹东市,,象山丹东街道天安路135弄5-1号,象山丹东街道天安路135弄5-,象山丹东街道天安路135弄,象山丹东街道天安路,,,,,,,,,,,,,
108,辽宁省,丹东市,象山县,街道天安路135弄9号,街道天安路135弄,街道天安路,,,,,,,,,,,,,,
109,浙江省,宁波市,鄞州区,长寿南路126弄96号601室,长寿南路126弄96号,长寿南路126弄,长寿南路,,,,,,,,,,,,,
110,浙江省,宁波市,慈溪市,横河镇龙南村,,,,,,,,,,,,,,,,
111,重庆市,重庆市,渝中区,学田湾正街55号附1号,学田湾正街55号附,学田湾正街,,,,,,,,,,,,,,
112,浙江省,宁波市,鄞州区,中河街道永佳苑,,,,,,,,,,,,,,,,
113,浙江省,宁波市,余姚市,泗门镇夹塘村,,,,,,,,,,,,,,,,
114,浙江省,宁波市,镇海区,庄市街道勤勇村,,,,,,,,,,,,,,,,
115,浙江省,宁波市,镇海区,三区鼓楼西路115弄11号501室,三区鼓楼西路115弄11号,三区鼓楼西路115弄,三区鼓楼西路,,,,,,,,,,,,,
116,安徽省,芜湖市,,经济开发区银湖春天33幢,经济开发区银湖春天,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,
118,上海市,上海市,松江区,九亭镇涞亭南路599弄236号,九亭镇涞亭南路599弄,九亭镇涞亭南路,,,,,,,,,,,,,,
119,浙江省,宁波市,象山县,爵溪十字西街71号,爵溪十字西街,,,,,,,,,,,,,,,
120,浙江省,宁波市,宁海县,科三路11号,科三路,,,,,,,,,,,,,,,
121,浙江省,宁波市,象山县,贤痒镇东风村象山港口工业小区,,,,,,,,,,,,,,,,
122,浙江省,宁波市,象山县,爵溪街道北塘,,,,,,,,,,,,,,,,
123,,,,奉化市茗山路190号,奉化市茗山路,,,,,,,,,,,,,,,
124,浙江省,宁波市,江北区,长岛花园8幢42号,长岛花园8幢,长岛花园,,,,,,,,,,,,,,
125,浙江省,宁波市,象山县,滨海大道西段南侧,,,,,,,,,,,,,,,,
126,,,,古塘街道石桥头村,,,,,,,,,,,,,,,,
127,浙江省,宁波市,慈溪市,逍林镇择乐路村,,,,,,,,,,,,,,,,
128,浙江省,宁波市,宁海县,长街镇保险路,,,,,,,,,,,,,,,,
129,浙江省,宁波市,宁海县,强蛟镇新西村,,,,,,,,,,,,,,,,
130,浙江省,宁波市,北仑区,小港一品江南5幢1801室,小港一品江南5幢,小港一品江南,,,,,,,,,,,,,,
131,浙江省,宁波市,鄞州区,集士港镇丰成村新旺大厦301,集士港镇丰成村新旺大厦,,,,,,,,,,,,,,,
132,浙江省,宁波市,,江东区江东南路51号201室,江东区江东南路51号,江东区江东南路,,,,,,,,,,,,,,
133,浙江省,宁波市,鄞州区,集士港丰成村新旺大厦901,集士港丰成村新旺大厦,,,,,,,,,,,,,,,
134,浙江省,宁波市,江北区,广厦怡庭北区23幢182号506室,广厦怡庭北区23幢182号,广厦怡庭北区23幢,广厦怡庭北区,,,,,,,,,,,,,
135,浙江省,宁波市,鄞州区,首南街道环球城6幢7号2906室,首南街道环球城6幢7号,首南街道环球城6幢,首南街道环球城,,,,,,,,,,,,,
136,浙江省,宁波市,鄞州区,集士港镇丰成村新旺大厦701,集士港镇丰成村新旺大厦,,,,,,,,,,,,,,,
137,浙江省,宁波市,鄞州区,集士港镇丰成村新旺大厦501,集士港镇丰成村新旺大厦,,,,,,,,,,,,,,,
138,浙江省,宁波市,北仑区,霞浦泰东河路272号2幢272号,霞浦泰东河路272号2幢,霞浦泰东河路272号,霞浦泰东河路,,,,,,,,,,,,,
139,海南省,宁波市,镇海区,庄市街道明海南路312号1-1室,庄市街道明海南路312号1-,庄市街道明海南路312号,庄市街道明海南路,,,,,,,,,,,,,
140,浙江省,宁波市,海曙区,环城西路南段17号,环城西路南段,,,,,,,,,,,,,,,
141,浙江省,宁波市,,江东区朝晖路416弄144号27幢608室,江东区朝晖路416弄144号27幢,江东区朝晖路416弄144号,江东区朝晖路416弄,江东区朝晖路,,,,,,,,,,,,
142,,,,龙山镇新东村,,,,,,,,,,,,,,,,
143,浙江省,宁波市,,杭州湾新区晓塘路123号,杭州湾新区晓塘路,,,,,,,,,,,,,,,
144,浙江省,宁波市,慈溪市,浒山街道景观花苑3#楼3-21d,浒山街道景观花苑3#楼3-,浒山街道景观花苑3#楼,浒山街道景观花苑,,,,,,,,,,,,,
145,浙江省,宁波市,宁海县,强蛟镇薛岙毛头山脚储岩凌,,,,,,,,,,,,,,,,
146,,,,浒山街道环城南路1-23号,浒山街道环城南路1-,浒山街道环城南路,,,,,,,,,,,,,,
147,浙江省,宁波市,慈溪市,慈东滨海区,,,,,,,,,,,,,,,,
148,,,,联丰路55号,联丰路,,,,,,,,,,,,,,,
149,浙江省,宁波市,慈溪市,新浦镇上舍村,,,,,,,,,,,,,,,,
150,,,,长河镇宁丰村,,,,,,,,,,,,,,,,
151,浙江省,宁波市,慈溪市,长河镇,,,,,,,,,,,,,,,,
152,,,,长河镇宁丰村,,,,,,,,,,,,,,,,
153,,,,观海卫镇城隍庙村海卫家园14号楼101室,观海卫镇城隍庙村海卫家园14号楼,观海卫镇城隍庙村海卫家园,,,,,,,,,,,,,,
154,,,,清水桥路535号新城大厦,清水桥路,,,,,,,,,,,,,,,
155,,,,古塘街道汪田路115号,古塘街道汪田路,,,,,,,,,,,,,,,
156,天津市,天津市,和平区,南京路125号第五大道商业街,南京路,,,,,,,,,,,,,,,
157,,,,杭州湾镇周邵村,,,,,,,,,,,,,,,,
158,浙江省,宁波市,余姚市,陆埠镇兰溪村,,,,,,,,,,,,,,,,
159,浙江省,宁波市,,江东区朝晖路,,,,,,,,,,,,,,,,
160,浙江省,宁波市,,,,,,,,,,,,,,,,,,
161,浙江省,宁波市,北仑区,小港江南东路639巷6、9#楼302室,小港江南东路639巷6、9#楼,小港江南东路639巷6、,小港江南东路639巷,小港江南东路,,,,,,,,,,,,
162,浙江省,宁波市,余姚市,泗门镇东埔村沙堰头,,,,,,,,,,,,,,,,
163,浙江省,宁波市,余姚市,泗门镇洪明路南10号,泗门镇洪明路南,,,,,,,,,,,,,,,
164,浙江省,宁波市,,朱雀新村宝丽花园5号103号,朱雀新村宝丽花园5号,朱雀新村宝丽花园,,,,,,,,,,,,,,
165,浙江省,宁波市,鄞州区,侨商商务大厦502,侨商商务大厦,,,,,,,,,,,,,,,
166,浙江省,宁波市,,桥头胡工业区,,,,,,,,,,,,,,,,
167,,,,天元镇省塘头村,,,,,,,,,,,,,,,,
168,浙江省,宁波市,,江东区通途路528弄39号10幢405室,江东区通途路528弄39号10幢,江东区通途路528弄39号,江东区通途路528弄,江东区通途路,,,,,,,,,,,,
169,,,,奉化市岳林街道华信国际中山东路15幢706室,奉化市岳林街道华信国际中山东路15幢,奉化市岳林街道华信国际中山东路,,,,,,,,,,,,,,
170,安徽省,芜湖市,,江北产业集中区206省道与长河北路交叉口,江北产业集中区,,,,,,,,,,,,,,,
171,浙江省,宁波市,鄞州区,横街镇横街中路,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,
173,浙江省,宁波市,象山县,丹西街道丹峰西路308号4-01室,丹西街道丹峰西路308号4-,丹西街道丹峰西路308号,丹西街道丹峰西路,,,,,,,,,,,,,
174,浙江省,宁波市,余姚市,丈亭镇张孙村,,,,,,,,,,,,,,,,
175,广西壮族自治区,防城港市,东兴市,长街镇东兴中路,,,,,,,,,,,,,,,,
176,浙江省,宁波市,北仑区,新[UNK857黄1路206号s幢s室,新[UNK857黄1路,新[UNK857黄,新[UNK,,,,,,,,,,,,,
177,,,,天元镇天潭村,,,,,,,,,,,,,,,,
178,浙江省,宁波市,余姚市,大隐镇大隐商贸城,,,,,,,,,,,,,,,,
179,浙江省,宁波市,鄞州区,聚贤路1299号第28幢-30幢、33幢、34幢,聚贤路1299号第28幢-30幢、33幢、,聚贤路1299号第28幢-30幢、,聚贤路1299号第28幢-,聚贤路1299号第,聚贤路,,,,,,,,,,,
180,浙江省,宁波市,鄞州区,江东南路海景花园19号2501室,江东南路海景花园19号,江东南路海景花园,,,,,,,,,,,,,,
181,浙江省,宁波市,,海景花园1号车库-1-8,海景花园1号车库-1-,海景花园1号车库-,海景花园,,,,,,,,,,,,,
182,浙江省,宁波市,,江东区江东南路39号2802室,江东区江东南路39号,江东区江东南路,,,,,,,,,,,,,,
183,浙江省,宁波市,江北区,育才路288号繁景花园118幢,育才路288号繁景花园,育才路,,,,,,,,,,,,,,
184,浙江省,宁波市,江北区,羊山巷26号1601室,羊山巷26号,羊山巷,,,,,,,,,,,,,,
185,浙江省,宁波市,余姚市,余姚镇塑料城z区801a号、801b号,余姚镇塑料城z区801a号、,余姚镇塑料城z区,,,,,,,,,,,,,,
186,,,,江东区彩虹南路132号2b幢303室,江东区彩虹南路132号2b幢,江东区彩虹南路132号,江东区彩虹南路,,,,,,,,,,,,,
187,浙江省,宁波市,慈溪市,逍林镇锦丽花园g2,逍林镇锦丽花园g,,,,,,,,,,,,,,,
188,浙江省,宁波市,慈溪市,桥头镇上林湖村（a#）,,,,,,,,,,,,,,,,
189,,,,奉化溪口镇中兴东路708号春秋名都a幢商场-2-2,奉化溪口镇中兴东路708号春秋名都a幢商场-2-,奉化溪口镇中兴东路708号春秋名都a幢商场-,奉化溪口镇中兴东路,,,,,,,,,,,,,
190,浙江省,丽水市,缙云县,五云镇上交岭17号,五云镇上交岭,,,,,,,,,,,,,,,
191,浙江省,丽水市,缙云县,五云镇上交岭17号,五云镇上交岭,,,,,,,,,,,,,,,
192,浙江省,丽水市,,南城汽车专卖市场3号,南城汽车专卖市场,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,
194,浙江省,丽水市,莲都区,丽新畲族乡山村,,,,,,,,,,,,,,,,
195,湖南省,郴州市,汝城县,城关镇环城西路濂溪小区,,,,,,,,,,,,,,,,
196,浙江省,金华市,,双龙大桥以西,,,,,,,,,,,,,,,,
197,浙江省,嘉兴市,平湖市,独山港镇兴港路581号,独山港镇兴港路,,,,,,,,,,,,,,,
198,浙江省,绍兴市,,钱清方家桥村11幢36-37号,钱清方家桥村11幢36-,钱清方家桥村11幢,钱清方家桥村,,,,,,,,,,,,,
199,浙江省,嘉兴市,桐乡市,梧桐街道东兴街庆丰中路,,,,,,,,,,,,,,,,
200,上海市,上海市,松江区,松汇中路568号,松汇中路,,,,,,,,,,,,,,,
201,浙江省,嘉兴市,平湖市,独山港镇振港路137号,独山港镇振港路,,,,,,,,,,,,,,,
202,吉林省,吉林市,舒兰市,铁东街东侧、建纺路南侧,,,,,,,,,,,,,,,,
203,浙江省,湖州市,,南浔镇南林路中和家私城,,,,,,,,,,,,,,,,
204,浙江省,湖州市,,红旗路2号10层-12层,红旗路2号10层-,红旗路2号,红旗路,,,,,,,,,,,,,
205,浙江省,湖州市,,红旗路1号,红旗路,,,,,,,,,,,,,,,
206,浙江省,湖州市,长兴县,虹星桥镇谭家村,,,,,,,,,,,,,,,,
207,浙江省,湖州市,长兴县,雉城镇金成广场b座6层,雉城镇金成广场b座,,,,,,,,,,,,,,,
208,,,,泗安镇白莲村,,,,,,,,,,,,,,,,
209,浙江省,湖州市,,菱湖镇振兴北路东侧钻石大酒店,,,,,,,,,,,,,,,,
210,,,,德清武康镇长虹街北侧、云岫北路东侧,,,,,,,,,,,,,,,,
211,浙江省,金华市,永康市,芝英街道,,,,,,,,,,,,,,,,
212,浙江省,金华市,义乌市,街1098/1096号南幢14室,街1098/1096号南幢,街1098/,街,,,,,,,,,,,,,
213,浙江省,金华市,,"二环北路以南,迎宾大道以西3-1-0-170/171号","二环北路以南,迎宾大道以西3-1-0-170/","二环北路以南,迎宾大道以西3-1-0-","二环北路以南,迎宾大道以西3-1-","二环北路以南,迎宾大道以西3-","二环北路以南,迎宾大道以西",,,,,,,,,,,
214,,,,车站路s200s16s200s13,车站路s200s16s200s,车站路s200s16s,车站路s200s,车站路s,,,,,,,,,,,,
